,Address,Category,Latitude,Longitude,Name,Neighborhood
22,Plaza de Santo Domingo,Arts & Entertainment,40.42010140324984,-3.7080407772724366,Plaza de Santo Domingo,Palacio
23,C/ Arenal 8,Arts & Entertainment,40.417338260137555,-3.70544297143025,Casita Museo de Ratón Pérez,Palacio
24,,Arts & Entertainment,40.422315,-3.708924,Teatro Edp Gran Via,Palacio
25,"C. Concepción Jerónima, 15",Arts & Entertainment,40.413663321236676,-3.705447800535241,Imprenta Municipal,Palacio
26,"Cuchilleros, 7",Arts & Entertainment,40.414535529593635,-3.708108373041791,La Taberna de Mister Pinkleton,Palacio
27,"C. Arenal, 11",Arts & Entertainment,40.41695263825091,-3.706693774060599,Joy Eslava,Palacio
28,,Arts & Entertainment,40.416663,-3.704251,calle correos,Palacio
29,Pza. de las Descalzas,Arts & Entertainment,40.41818068281724,-3.706609010696411,Plaza de las Descalzas,Palacio
30,"C/ de las Hileras, 14",Arts & Entertainment,40.41762440244889,-3.707630283160022,La Coquette,Palacio
31,"C. Morería, 17",Arts & Entertainment,40.412619019854375,-3.7142493289306913,Corral de la Morería,Palacio
32,"Calle del Arenal, 9",Arts & Entertainment,40.41713929663129,-3.7060442727377425,Palacio de Gaviria,Palacio
33,"Gran Vía, 54",Arts & Entertainment,40.42149407548861,-3.7071249062844207,Teatro Rialto,Palacio
34,"C. San Bernardo, 5",Arts & Entertainment,40.42113145524051,-3.7081623926383154,Teatro Arlequín Gran Vía,Palacio
35,"Gran Vía, 41",Arts & Entertainment,40.42063906535641,-3.7064681978527543,Cine Capitol 3D,Palacio
36,Gran Vía 66,Arts & Entertainment,40.42259093630041,-3.708986132310963,Teatro de la Luz Philips,Palacio
37,C/ Segovia 17,Arts & Entertainment,40.413976,-3.7121719121932983,Rincón del Arte Nuevo,Palacio
38,Plaza de España 9,Arts & Entertainment,40.421742983610315,-3.7134540870358648,Las Tablas Tablao Flamenco,Palacio
39,Pl. de Puerta Cerrada,Arts & Entertainment,40.413795497235036,-3.7081173980299615,Plaza de Puerta Cerrada,Palacio
40,"Calle del Carmen, 22",Arts & Entertainment,40.41882754953965,-3.704943326172927,Doña Manolita,Palacio
41,"C. Jacometrezo, 4",Arts & Entertainment,40.42027059333172,-3.707001120859226,Café Berlin,Palacio
42,Gran Vía 57,Arts & Entertainment,40.42151046064538,-3.708903833873936,"El Rey León, El Musical",Palacio
43,,Arts & Entertainment,40.42056772989122,-3.706567789956222,Teatro Capitol,Palacio
44,"Gran Vía, 70",Arts & Entertainment,40.422670746274996,-3.709532872638126,La Chocita del Loro Senator,Palacio
45,"C. Caños Viejos, 3",Arts & Entertainment,40.41343881739265,-3.713393310568251,Marula Café,Palacio
46,"C/ Bailén, 16",Arts & Entertainment,40.41263919986747,-3.713827208907879,Contraclub,Palacio
47,"Pl. Callao, 3",Arts & Entertainment,40.42023508737295,-3.7060891114606473,Cines Callao - Callao City Lights,Palacio
48,"Pl. de la Paja, 2",Arts & Entertainment,40.41293899146668,-3.71163199754738,Restaurante El Cosaco,Palacio
49,"Gran Vía, 57",Arts & Entertainment,40.421555624426574,-3.7088823820699344,Teatro Lope de Vega,Palacio
0,,Park,40.417535,-3.712035,Parque Infantil Plaza De Oriente,Palacio
1,Pz. de Oriente,Park,40.41740870811962,-3.712464877753914,Jardines de Lepanto,Palacio
2,Pz. de Oriente,Park,40.41916494525819,-3.712327480316162,Jardines del cabo Noval,Palacio
